mass (g),year,reclat,reclong
21,01/01/1880 12:00:00 AM,50.775,6.08333
720,1/1/51 0:00,56.18333,10.23333
107000,1/1/52 0:00,54.21667,-113
1914,1/1/76 0:00,16.88333,-99.9
780,01/01/1902 12:00:00 AM,-33.16667,-64.95
4239,1/1/19 0:00,32.1,71.8
910,1/1/49 0:00,44.83333,95.16667
30000,01/01/1814 12:00:00 AM,44.21667,0.61667
1620,1/1/30 0:00,-31.6,-65.23333
1440,1/1/20 0:00,-30.86667,-64.55
1000,1/1/74 0:00,16.39806,-9.57028
24000,1/1/25 0:00,19.08333,8.38333
,01/01/1769 12:00:00 AM,50.66667,2.33333
779,1/1/49 0:00,29.51667,35.05
1800,01/01/1838 12:00:00 AM,29.71667,77.95
3000,1/1/59 0:00,8.91667,8.43333
50000,1/1/81 0:00,39.91667,42.81667
160,1/1/57 0:00,24.41667,39.51667
700,1/1/01 0:00,13.66033,28.96
6000,01/01/1806 12:00:00 AM,44.11667,4.08333
2000,01/01/1766 12:00:00 AM,44.65,11.01667
625,1/1/49 0:00,2,22.66667
252,1/1/02 0:00,45.82133,6.01533
700,01/01/1835 12:00:00 AM,51.78333,-1.78333
3200,01/01/1873 12:00:00 AM,36.23333,37.13333
908,01/01/1860 12:00:00 AM,44.88333,8.75
9251,01/01/1900 12:00:00 AM,50.95,31.81667
228000,01/01/1883 12:00:00 AM,45.26667,10.15
32000,01/01/1899 12:00:00 AM,42.53333,-85.88333
2000000,1/1/69 0:00,26.96667,-105.31667
3950,1/1/08 0:00,20.74575,32.41275
6000,1/1/77 0:00,35.27333,44.21556
6400,01/01/1895 12:00:00 AM,27.66667,78.25
2700,01/01/1880 12:00:00 AM,26.58333,85.56667
3200,01/01/1898 12:00:00 AM,44.61667,-70.75
600,1/1/69 0:00,48.7,37.5
17900,1/1/39 0:00,20.88333,76.86667
,01/01/1822 12:00:00 AM,47.46667,-0.55
1500,01/01/1869 12:00:00 AM,-22.96667,-44.31667
6500,1/1/42 0:00,9.53333,39.71667
2500,1/1/71 0:00,25.15,105.18333
320,1/1/84 0:00,40.81056,140.78556
15000,1/1/14 0:00,53.58333,-2.71667
3200,01/01/1803 12:00:00 AM,43.86667,5.38333
810,1/1/54 0:00,-33,-66
5070,1/1/32 0:00,38.5,-94.3
7450,1/1/50 0:00,-31.41667,-60.66667
41,01/01/1805 12:00:00 AM,42.45,9.03333
9500,1/1/09 0:00,31.805,-97.01
1300,1/1/23 0:00,52.05,0.3
2000,01/01/1886 12:00:00 AM,43.03333,12.55
1280,1/1/20 0:00,25.25417,80.625
94.2,01/01/1896 12:00:00 AM,20.06667,-103.66667
265,1/1/33 0:00,34.75,-87
1384.2,1/1/45 0:00,34.31667,-96.15
800,01/01/1836 12:00:00 AM,44.38333,5.16667
50000,01/01/1865 12:00:00 AM,36.16667,3.66667
2000,01/01/1842 12:00:00 AM,44.33333,3.23333
50000,01/01/1858 12:00:00 AM,43.08333,0.58333
9330,1/1/52 0:00,-21.46028,-49.95083
1230,1/1/08 0:00,46,13.5
146,01/01/1855 12:00:00 AM,25,-103.5
134,1/1/68 0:00,2.71667,32.83333
2830,1/1/38 0:00,36.8,-108
18000,01/01/1814 12:00:00 AM,48.6,38
10322,1/1/34 0:00,28.48333,78.5
3700,1/1/29 0:00,35.96667,-82.48333
345,1/1/22 0:00,34.5,-88.66667
1000,1/1/07 0:00,5.38333,16.38333
16700,1/1/93 0:00,16.66667,101.18333
11500,01/01/1871 12:00:00 AM,-6.91667,107.6
15000,01/01/1892 12:00:00 AM,27.7,76.33333
14,1/1/13 0:00,30.4,78.2
629,1/1/33 0:00,-6.33333,106
6400,01/01/1790 12:00:00 AM,43.95,-0.05
,01/01/1704 12:00:00 AM,41.36667,2.16667
3200,01/01/1842 12:00:00 AM,42.38333,-2.5
23.2,1/1/04 0:00,52.73333,84.08333
17,01/01/1886 12:00:00 AM,52,9.1
4500,1/1/10 0:00,31.61667,76.8
44000,1/1/65 0:00,52.56528,-1.33972
29560,1/1/06 0:00,15.78333,-5.9
15500,1/1/94 0:00,52.03333,20.93583
21000,01/01/1892 12:00:00 AM,45.41667,-98.31667
86000,01/01/1902 12:00:00 AM,38.25,-83.75
2900,1/1/12 0:00,40.66813,-117.18913
1557,1/1/89 0:00,11.08333,-0.18333
611,1/1/16 0:00,36.75,-93.5
16000,1/1/29 0:00,39.8,-101.2
14000,01/01/1893 12:00:00 AM,51.16667,-117.33333
794,1/1/49 0:00,53.01667,-4.1
375,1/1/61 0:00,33.6,-96.46667
,1/1/37 0:00,-32.33333,-64.86667
3700,01/01/1798 12:00:00 AM,25.36667,82.91667
25000,1/1/04 0:00,32.25,-8.15
19000,1/1/01 0:00,32.86667,10.8
1770.5,1/1/38 0:00,39.08333,-89.15
3880,1/1/43 0:00,-26.16667,28.41667
45000,1/1/02 0:00,30,-7
2840,1/1/49 0:00,45.95,-67.55
270,1/1/08 0:00,-31.91,-58.32833
18000,1/1/24 0:00,11.65,-3.65
1440,01/01/1811 12:00:00 AM,41.68333,-3.8
960,1/1/04 0:00,40.30583,-105.02325
13.9,01/01/1859 12:00:00 AM,42.53333,-73.83333
2000,01/01/1859 12:00:00 AM,43.21667,-0.23333
1100,1/1/21 0:00,33.88333,35.5
18,01/01/1877 12:00:00 AM,20.88333,74.83333
678,1/1/02 0:00,26.50833,73.11528
100,01/01/1893 12:00:00 AM,20.83333,71.46667
1047,1/1/40 0:00,22.68333,90.65
2500,1/1/05 0:00,22.08333,86.9
4000,01/01/1827 12:00:00 AM,53.1,23.2
1900,01/01/1887 12:00:00 AM,50.13333,27.16667
25000,1/1/99 0:00,12.45,-0.08333
488.1,1/1/84 0:00,-33.15639,115.67639
560,1/1/23 0:00,13.76667,5.3
6000,01/01/1843 12:00:00 AM,34.16667,-80.28333
1039,01/01/1895 12:00:00 AM,25.38333,82.6
1850,01/01/1796 12:00:00 AM,49.78333,30.16667
330000,01/01/1899 12:00:00 AM,60.4,25.8
705,1/1/41 0:00,40.91667,-78.08333
2381,1/1/06 0:00,36.83333,-97.33333
5100,1/1/09 0:00,31.83333,-98.83333
470,01/01/1833 12:00:00 AM,49.36667,16.63333
67.8,1/1/38 0:00,40.48,-89.00417
7500,1/1/77 0:00,33.83333,115.83333
56,01/01/1804 12:00:00 AM,23,-102
8800,1/1/62 0:00,12.5,0.7
256000,1/1/16 0:00,44.55,131.63333
1676,01/01/1808 12:00:00 AM,44.86667,10.05
8600,01/01/1894 12:00:00 AM,21.95,78.03333
1342,1/1/30 0:00,54.23333,52.48333
7000,01/01/1852 12:00:00 AM,48.15,24.28333
500,01/01/1812 12:00:00 AM,55.46667,35.86667
614,01/01/1823 12:00:00 AM,51.33333,33.88333
190,1/1/03 0:00,17.71067,-11.3715
3599,1/1/11 0:00,17.17493,-11.34133
5460,1/1/69 0:00,54.56667,-6.33333
762,01/01/1886 12:00:00 AM,40.5,-80.08333
39000,01/01/1847 12:00:00 AM,50.6,16.3
1500,1/1/56 0:00,50.66694,8.18361
7250,01/01/1855 12:00:00 AM,53.4,9.1
219,1/1/33 0:00,52.13333,59.31667
303000,1/1/60 0:00,53.9,-112.88333
5300,1/1/01 0:00,39.77978,64.60035
2250,1/1/64 0:00,,
324,1/1/07 0:00,-31.35,129.19
357,1/1/42 0:00,10.01667,9.58333
120000,1/1/19 0:00,5,48
1504,1/1/90 0:00,37.62194,-82.23722
25000,1/1/46 0:00,40.2,29.23333
5000,01/01/1863 12:00:00 AM,46.45,25.78333
1500,01/01/1852 12:00:00 AM,26.78333,82.83333
29000,01/01/1861 12:00:00 AM,27.08333,84.08333
41000,1/1/08 0:00,52.996,-109.84817
25000,01/01/1870 12:00:00 AM,37.98333,-1.16667
48500,01/01/1886 12:00:00 AM,35.5,-93.5
212,1/1/19 0:00,43.83889,20.33333
478,1/1/07 0:00,3.405,-76.51
2400,1/1/16 0:00,11.75,122.33333
23680,1/1/91 0:00,-7.03333,-40.16667
4000,1/1/64 0:00,39.8,26.6
945,01/01/1861 12:00:00 AM,41.25,1.66667
34000,01/01/1866 12:00:00 AM,43.38333,-5.15
1400,1/1/73 0:00,38.47028,-105.24139
2300,01/01/1846 12:00:00 AM,37.26667,-89.58333
750,1/1/34 0:00,-30.88333,-64.55
342,1/1/07 0:00,-16.66444,-69.04389
8,01/01/1902 12:00:00 AM,38.5,27
7300,01/01/1874 12:00:00 AM,36.08333,-78.06667
,01/01/1791 12:00:00 AM,43.35,11.5
94,01/01/1848 12:00:00 AM,44.38333,-68.75
15000,01/01/1583 12:00:00 AM,39.8,16.2
1360,01/01/1810 12:00:00 AM,36.5,-79.25
1025,1/1/88 0:00,26.46667,-105.23333
45.6,1/1/56 0:00,43.2,-96.91667
6460,01/01/1840 12:00:00 AM,45.08333,8.3
3700,1/1/98 0:00,28.53333,109.31667
0.5,01/01/1814 12:00:00 AM,25.36667,81.66667
8200,1/1/07 0:00,25.85,83.48333
18300,1/1/33 0:00,-30.78333,-58.05
8800,01/01/1838 12:00:00 AM,20.26667,76.01667
1100,01/01/1885 12:00:00 AM,27.28333,79.05
1810,1/1/77 0:00,29.08333,111.75
31500,01/01/1812 12:00:00 AM,46.68333,1.05
4300,01/01/1835 12:00:00 AM,36.16667,-87.33333
27000,01/01/1810 12:00:00 AM,47.93333,1.56667
12000,01/01/1834 12:00:00 AM,29.48333,75.5
4000,01/01/1815 12:00:00 AM,47.71667,5.36667
30000,01/01/1841 12:00:00 AM,47.93333,2.91667
2945,1/1/25 0:00,41.93333,-7.46667
2936,1/1/88 0:00,-3.66667,32.5
100000,1/1/13 0:00,54.81667,61.11667
100000,1/1/07 0:00,23.69639,-5.01472
6000,1/1/64 0:00,53.7,30.1
8400,1/1/33 0:00,35.03333,-81.88333
705,01/01/1901 12:00:00 AM,46.55,6.81667
1700,1/1/39 0:00,50.83333,34
72,01/01/1880 12:00:00 AM,14.5,76.5
367,1/1/81 0:00,17.9,101.63333
303,1/1/38 0:00,40.93333,-79.73333
3920,1/1/88 0:00,-10.05944,33.395
,1/1/66 0:00,-17.35,13.96667
4000,1/1/78 0:00,47.47083,0.97667
1600,1/1/79 0:00,-6.95,108.1
1455,1/1/84 0:00,32.1025,-81.87278
48.6,01/01/1822 12:00:00 AM,,
104000,1/1/17 0:00,44.9,-90.28333
5200,01/01/1838 12:00:00 AM,-33.13333,19.38333
469,1/1/94 0:00,43.76111,-84.50778
5000,01/01/1890 12:00:00 AM,42.53333,12.61667
20350,1/1/65 0:00,-19.85,-47.55
